Id,Start,End,Values
495288,1,5,5.02679443359375;45.72030277575477 4.8698272705078125;45.65973831435381 4.706611633300781;45.60219974841102 4.53721953601372;45.542193913863876 4.382433210100446;45.485504150390625 
47be84,1,5,9.85881908519848;51.40315246582031 9.9078369140625;51.485611220537606 10.06805419921875;51.75123828952595 10.078100256017736;51.76789855957031 10.084915161132812;51.77912307997881 
405f0c,1,5,5.7867431640625;51.99861145019531 5.9008026123046875;51.908477783203125 6.022066683382602;51.81275939941406 6.1408233642578125;51.71827930515095 6.2660980224609375;51.618098889367054 
3c6628,2,5,0.0469970703125;51.63932670981197 -0.0981903076171875;51.63057488910222 -0.146636962890625;51.62750244140625 -0.2588653564453125;51.62047305349576 
406cc8,1,6,3.70843505859375;48.012176513671875 3.6459503173828125;48.08839416503906 3.5594257555509867;48.19357661877648 3.4675950270432687;48.30464172363281 3.3715017218338814;48.41982049457097 3.274559607872596;48.536590576171875 
3950c6,3,5,-2.29888916015625;41.83451843261719 -2.374357743696733;41.71852111816406 -2.396041515261628;41.68524790618379 
406b42,1,6,-0.99517822265625;51.233763613943324 -1.0593641126478133;51.32844543457031 -1.1312103271484375;51.43081923662606 -1.1742009343327595;51.53004455566406 -1.2145233154296875;51.631180068193856 -1.2529610298775538;51.73301696777344 
c05840,1,6,8.852956671463815;50.317657470703125 8.862626359269425;50.40355100470074 8.873483758223683;50.50053405761719 8.884614643297697;50.59922790527344 8.898773193359375;50.72113037109375 8.90872439822635;50.806365966796875 
3c6622,1,6,9.056637412623354;50.15052795410156 9.220943966427365;50.08685613082627 9.405113426414696;50.052314370365465 9.586239376583615;50.01749329647775 9.767365326752534;49.98299808825477 9.950505306846216;49.947601318359375 
4a1961,1,5,5.999339033917684;46.662872314453125 5.877479553222656;46.74254336599576 5.754893233136434;46.82185363769531 5.629600524902344;46.90232849121094 5.506690979003906;46.98097229003906 
40666b,1,3,2.2496733794341215;49.772628525556144 2.109880949321546;49.86671447753906 1.9680373733108107;49.961863372285485 
4b18f1,1,5,9.801437790329391;49.59898867849576 9.851470122466216;49.70438294491525 9.902656956722861;49.81141662597656 9.95570935701069;49.92192077636719 10.007802602407095;50.02996929621292 
3c5463,1,1,10.891137374074834;48.70765298099841 
3c646b,1,5,4.690345557960304;50.104732190148304 4.5166428024704395;50.041933221332094 4.360681482263513;49.986536058328916 4.1895768449113175;49.92583194021451 4.03133191560444;49.86991882324219 
a2f948,1,5,5.361785888671875;51.42458123675847 5.1861572265625;51.471878310381356 4.999967008023649;51.52162170410156 4.801483154296875;51.56782247252383 4.588623046875;51.59407793465307 
4b17a1,1,6,7.532762799944196;43.62493999933792 7.500196184430803;43.55106159792108 7.465275355747767;43.48463155455508 7.386736188616071;43.45297603283898 7.298976353236607;43.44301385394597 7.229200090680803;43.460889913268005 
495291,2,6,-4.316815462979434;40.94935013076006 -4.2763658003373735;40.950420832229874 -4.19976806640625;40.9522705078125 -4.1197509765625;40.953369140625 -4.03887939453125;40.95414733886719 
aaf5b1,1,5,8.211130541424419;43.51432800292969 8.089514444040699;43.56184387207031 7.931298544240553;43.637786865234375 7.759225027901786;43.72316522113347 7.626473563058036;43.78885042869438 
4b1a62,1,5,7.593841552734375;44.90016174316406 7.713710239955357;44.81684875488281 7.835475376674107;44.73138427734375 7.955801827566964;44.64674377441406 8.077228825266769;44.56087274066472 
406321,1,6,10.881162944592926;49.41631769729873 10.72959498355263;49.46946716308594 10.560752467105262;49.5142822265625 10.386830922719595;49.56007100768008 10.218398635451859;49.60401632018008 10.043879328547298;49.649358199814614 
34164b,3,6,-4.491455078125;41.08891296386719 -4.44403076171875;41.08799743652344 -4.3275146484375;41.08570861816406 -4.2159423828125;41.08332824707031 
4ca259,1,6,6.407053094161184;49.45234680175781 6.416508601262018;49.33827209472656 6.406619423314144;49.220286223847985 6.397078664679276;49.10283492783368 6.387915978064903;48.98583984375 6.3783381535456725;48.867279052734375 
4b1616,1,6,9.452362060546875;48.87943073854608 9.447185809795672;48.98139953613281 9.441481370192307;49.09895324707031 9.452217503597861;49.21809826867055 9.46515535053454;49.33387368412341 9.478677285684121;49.45346638307733 
